avg,max,min,sum,currentDate,count
-3.477193006422467,0,-0.687285223367697,-27.817544051379738,20200118030000,8
-5.002397174196673,-7.79816513761468,-1.09649122807018,-60.02876609036008,20200118090000,12
-5.308768992032536,-8.04123711340206,-0.276243093922652,-42.47015193626029,20200118150000,8
-4.594367794611184,-6.16740088105727,-0.274725274725276,-36.75494235688947,20200119030000,8
-5.796321053673996,-8.33333333333333,-4.16666666666667,-23.185284214695983,20200119090000,4
-6.541700387288351,-9.91735537190083,-3.65296803652968,-58.87530348559516,20200119150000,9
-4.968946664252375,-7.8125,-2.52293577981651,-19.8757866570095,20200119210000,4
-4.230313942561849,3.5538005923001,-0.352112676056339,-122.67910433429363,20200120030000,29
-2.4376130464052026,2.12765957446809,-0.80450522928399,-53.62748702091446,20200120093000,22
-3.7759020968481303,0,-0.125786163522013,-113.27706290544391,20200120153000,30
-4.197931991475367,1.31440588853838,-0.393700787401575,-134.33382372721175,20200120213000,32
-2.873538478191947,6.47198105761642,-0.331125827814569,-106.32092369310203,20200121033000,37
-2.98553116667166,2.38095238095238,-0.413223140495868,-191.07399466698624,20200121093000,64
-4.026861327623543,3.05522914218566,-0.383141762452107,-326.175767537507,20200121153000,81
-4.759998960486944,1.19760479041916,-0.380228136882129,-290.3599365897036,20200121213000,61
-2.72263527933289,3.68763557483731,-0.781249999999999,-280.4314337712877,20200122033000,103
-3.149695123546809,3.56472795497186,-0.299401197604791,-270.8737806250256,20200122093000,86
-2.7815318756805447,5,-0.219138056975895,-303.1869744491794,20200122153000,109
-3.47086266171182,3.1496062992126,-0.326264274061991,-374.85316746487655,20200122213000,108
-3.5474250279675075,4.33145009416196,-0.0851788756388414,-450.52297855187345,20200123033000,127
-3.561281058145264,5.51470588235294,-0.0763358778625953,-441.5988512100127,20200123093000,124
-3.805130391985303,2.94117647058824,-0.357142857142857,-620.2362538936044,20200123153000,163
-3.87167950806903,0.803212851405623,-1.15606936416185,-309.7343606455224,20200123213000,80
-3.2059303136260757,4.9492385786802,-0.217391304347826,-343.0345435579901,20200124033000,107
-3.3093302191821827,2.55402750491159,-0.18939393939394,-357.4076636716757,20200124093000,108
-3.5909872492602766,5.73122529644269,-0.130208333333333,-445.2824189082743,20200124153000,124
-3.37713504348054,1.33333333333333,-0.192678227360309,-293.81074878280697,20200124213000,87
-2.299266242290295,5.54171855541719,-0.195694716242661,-248.32075416735188,20200125033000,108
-3.877006082659063,1.31332082551595,-0.33500837520938,-333.4225231086794,20200125093000,86
-3.186026855326972,5.00963391136802,-0.186915887850468,-344.09090037531297,20200125153000,108
-3.52961508683546,4.50885668276973,-0.749063670411985,-190.59921468911483,20200125213000,54
-2.901748301094728,4.02173913043478,-0.277777777777779,-264.0590953996202,20200126033000,91
-3.141023776332549,7.72058823529412,-0.220872446162342,-270.1280447645992,20200126093000,86
-3.2798422416528292,4.12371134020619,-0.32017075773746,-360.7826465818112,20200126153000,110
-3.5036363885733373,4.93827160493827,-0.327868852459016,-280.290911085867,20200126213000,80
-2.9730574670005194,5.26315789473684,-0.338983050847458,-294.33268923305144,20200127033000,99
-3.178419374454955,2.38095238095238,-0.218340611353712,-479.9413255426982,20200127093000,151
-2.8777181477614584,3.26086956521739,-0.280112044817927,-460.43490364183333,20200127153000,160
-3.521357252453748,4.3859649122807,-0.537634408602151,-387.3492977699123,20200127213000,110
-2.914495217890862,5.10018214936248,-0.277392510402219,-454.66125399097444,20200128033000,156
